Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
3,Boston Bruins,4,0,2,0,2,2,0.25,10,15,2.5,3.75,4 games
4,Buffalo Sabres,3,1,1,0,1,3,0.5,5,5,1.67,1.67,3 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,8,5,2.67,1.67,3 games
6,Columbus Blue Jackets,2,0,1,0,1,1,0.25,3,5,1.5,2.5,2 games
7,Calgary Flames,2,1,1,0,0,2,0.5,11,8,5.5,4,2 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
9,Colorado Avalanche,2,0,1,0,1,1,0.25,4,9,2,4.5,2 games
10,Dallas Stars,2,0,2,0,0,0,0,4,8,2,4,2 games
11,Edmonton Oilers,2,1,1,0,0,2,0.5,6,6,3,3,2 games
12,Florida Panthers,4,2,1,0,1,5,0.625,10,9,2.5,2.25,4 games
13,Los Angeles Kings,2,0,2,0,0,0,0,2,8,1,4,2 games
14,Minnesota Wild,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
15,Montreal Canadiens,2,0,2,0,0,0,0,4,16,2,8,2 games
16,New Jersey Devils,3,1,1,0,1,3,0.5,7,7,2.33,2.33,3 games
17,Nashville Predators,2,1,1,0,0,2,0.5,5,4,2.5,2,2 games
18,New York Islanders,2,1,0,0,1,3,0.75,12,10,6,5,2 games
19,New York Rangers,3,2,0,0,1,5,0.833,7,6,2.33,2,3 games
20,Ottawa Senators,3,2,1,0,0,4,0.667,5,5,1.67,1.67,3 games
21,Philadelphia Flyers,3,1,1,0,1,3,0.5,10,11,3.33,3.67,3 games
22,Pittsburgh Penguins,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
24,St. Louis Blues,2,0,2,0,0,0,0,2,8,1,4,2 games
25,Tampa Bay Lightning,4,0,4,0,0,0,0,7,15,1.75,3.75,4 games
26,Toronto Maple Leafs,3,1,2,0,0,2,0.333,8,10,2.67,3.33,3 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,4,6,2,3,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
29,Winnipeg Jets,2,1,1,0,0,2,0.5,8,5,4,2.5,2 games
30,Washington Capitals,3,1,1,0,1,3,0.5,8,9,2.67,3,3 games
