Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,2,1,0,0,4,0.667,10,9,3.33,3,3 games
2,Arizona Coyotes,4,3,1,0,0,6,0.75,11,8,2.75,2,4 games
3,Boston Bruins,2,1,1,0,0,2,0.5,6,5,3,2.5,2 games
4,Buffalo Sabres,2,0,2,0,0,0,0,1,8,0.5,4,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,10,8,5,4,2 games
6,Columbus Blue Jackets,1,1,0,0,0,2,1,7,2,7,2,1 games
7,Calgary Flames,4,3,1,0,0,6,0.75,14,9,3.5,2.25,4 games
8,Chicago Blackhawks,3,1,1,0,1,3,0.5,6,9,2,3,3 games
9,Colorado Avalanche,3,2,0,0,1,5,0.833,10,8,3.33,2.67,3 games
10,Dallas Stars,3,1,2,0,0,2,0.333,9,15,3,5,3 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,6,6,3,3,2 games
12,Florida Panthers,2,1,1,0,0,2,0.5,9,9,4.5,4.5,2 games
13,Los Angeles Kings,3,1,2,0,0,2,0.333,6,13,2,4.33,3 games
14,Minnesota Wild,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
15,Montreal Canadiens,2,2,0,0,0,4,1,10,3,5,1.5,2 games
16,New Jersey Devils,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
17,Nashville Predators,3,0,3,0,0,0,0,3,10,1,3.33,3 games
18,New York Islanders,2,2,0,0,0,4,1,4,2,2,1,2 games
19,New York Rangers,2,0,2,0,0,0,0,4,7,2,3.5,2 games
20,Ottawa Senators,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
21,Philadelphia Flyers,2,0,2,0,0,0,0,3,6,1.5,3,2 games
22,Pittsburgh Penguins,2,0,1,0,1,1,0.25,3,5,1.5,2.5,2 games
23,San Jose Sharks,4,1,2,0,1,3,0.375,14,18,3.5,4.5,4 games
24,St. Louis Blues,3,1,2,0,0,2,0.333,7,14,2.33,4.67,3 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
26,Toronto Maple Leafs,2,0,2,0,0,0,0,4,7,2,3.5,2 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
28,Vegas Golden Knights,3,2,1,0,0,4,0.667,12,8,4,2.67,3 games
29,Winnipeg Jets,3,0,3,0,0,0,0,5,14,1.67,4.67,3 games
30,Washington Capitals,2,0,1,0,1,1,0.25,3,7,1.5,3.5,2 games
