Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,10,6,5,3,2 games
2,Arizona Coyotes,1,1,0,0,0,2,1,3,2,3,2,1 games
3,Boston Bruins,1,1,0,0,0,2,1,3,0,3,0,1 games
4,Buffalo Sabres,3,3,0,0,0,6,1,12,4,4,1.33,3 games
5,Carolina Hurricanes,2,0,1,0,1,1,0.25,3,6,1.5,3,2 games
6,Columbus Blue Jackets,3,0,2,0,1,1,0.167,5,14,1.67,4.67,3 games
7,Calgary Flames,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
8,Chicago Blackhawks,2,0,1,0,1,1,0.25,3,7,1.5,3.5,2 games
9,Colorado Avalanche,2,0,2,0,0,0,0,4,9,2,4.5,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,5,9,2.5,4.5,2 games
11,Detroit Red Wings,4,2,1,0,1,5,0.625,9,10,2.25,2.5,4 games
12,Edmonton Oilers,2,1,1,0,0,2,0.5,9,9,4.5,4.5,2 games
13,Los Angeles Kings,2,0,2,0,0,0,0,1,7,0.5,3.5,2 games
14,Minnesota Wild,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
15,Montreal Canadiens,4,3,1,0,0,6,0.75,10,5,2.5,1.25,4 games
16,New Jersey Devils,3,2,1,0,0,4,0.667,7,6,2.33,2,3 games
17,Nashville Predators,1,0,1,0,0,0,0,3,4,3,4,1 games
18,New York Islanders,2,1,0,0,1,3,0.75,8,6,4,3,2 games
19,New York Rangers,3,2,0,0,1,5,0.833,13,12,4.33,4,3 games
20,Ottawa Senators,3,2,1,0,0,4,0.667,11,7,3.67,2.33,3 games
21,Philadelphia Flyers,3,2,1,0,0,4,0.667,8,8,2.67,2.67,3 games
22,Pittsburgh Penguins,3,1,2,0,0,2,0.333,12,13,4,4.33,3 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,3,2,1.5,1,2 games
24,St. Louis Blues,2,2,0,0,0,4,1,12,6,6,3,2 games
25,Tampa Bay Lightning,4,1,2,0,1,3,0.375,17,22,4.25,5.5,4 games
26,Toronto Maple Leafs,3,2,1,0,0,4,0.667,5,4,1.67,1.33,3 games
27,Vancouver Canucks,2,2,0,0,0,4,1,7,4,3.5,2,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,6,8,3,4,2 games
29,Winnipeg Jets,2,1,1,0,0,2,0.5,8,11,4,5.5,2 games
30,Washington Capitals,3,2,1,0,0,4,0.667,9,7,3,2.33,3 games
