Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,4,2,2,0,0,4,0.5,9,10,2.25,2.5,4 games
2,Arizona Coyotes,3,1,0,0,2,4,0.667,11,7,3.67,2.33,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,3,3,1.5,1.5,2 games
4,Buffalo Sabres,2,2,0,0,0,4,1,8,4,4,2,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,6,9,3,4.5,2 games
6,Columbus Blue Jackets,2,2,0,0,0,4,1,11,6,5.5,3,2 games
7,Calgary Flames,3,1,1,0,1,3,0.5,8,9,2.67,3,3 games
8,Chicago Blackhawks,3,2,1,0,0,4,0.667,9,7,3,2.33,3 games
9,Colorado Avalanche,2,2,0,0,0,4,1,9,2,4.5,1,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,3,2,1.5,1,2 games
11,Detroit Red Wings,2,2,0,0,0,4,1,8,2,4,1,2 games
12,Edmonton Oilers,3,2,1,0,0,4,0.667,13,6,4.33,2,3 games
13,Florida Panthers,2,2,0,0,0,4,1,7,1,3.5,0.5,2 games
14,Minnesota Wild,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
15,Montreal Canadiens,2,2,0,0,0,4,1,9,1,4.5,0.5,2 games
16,New Jersey Devils,2,0,2,0,0,0,0,1,8,0.5,4,2 games
17,Nashville Predators,3,0,2,0,1,1,0.167,6,13,2,4.33,3 games
18,New York Islanders,2,1,0,0,1,3,0.75,6,6,3,3,2 games
19,New York Rangers,2,1,1,0,0,2,0.5,6,6,3,3,2 games
20,Ottawa Senators,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
21,Philadelphia Flyers,2,2,0,0,0,4,1,6,1,3,0.5,2 games
22,Pittsburgh Penguins,2,0,2,0,0,0,0,2,6,1,3,2 games
23,San Jose Sharks,4,1,3,0,0,2,0.25,6,9,1.5,2.25,4 games
24,St. Louis Blues,3,1,2,0,0,2,0.333,8,12,2.67,4,3 games
25,Tampa Bay Lightning,2,0,2,0,0,0,0,5,9,2.5,4.5,2 games
26,Toronto Maple Leafs,2,1,1,0,0,2,0.5,7,6,3.5,3,2 games
27,Vancouver Canucks,4,2,2,0,0,4,0.5,11,12,2.75,3,4 games
28,Vegas Golden Knights,4,2,1,0,1,5,0.625,11,10,2.75,2.5,4 games
29,Winnipeg Jets,3,1,1,0,1,3,0.5,6,7,2,2.33,3 games
30,Washington Capitals,2,2,0,0,0,4,1,8,3,4,1.5,2 games
