Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
2,Arizona Coyotes,3,1,1,0,1,3,0.5,9,10,3,3.33,3 games
3,Boston Bruins,1,0,1,0,0,0,0,3,5,3,5,1 games
4,Buffalo Sabres,2,2,0,0,0,4,1,11,6,5.5,3,2 games
5,Carolina Hurricanes,2,1,0,0,1,3,0.75,10,7,5,3.5,2 games
6,Columbus Blue Jackets,2,1,0,0,1,3,0.75,7,7,3.5,3.5,2 games
7,Calgary Flames,3,2,0,0,1,5,0.833,8,6,2.67,2,3 games
8,Chicago Blackhawks,5,3,2,0,0,6,0.6,11,9,2.2,1.8,5 games
9,Colorado Avalanche,4,1,3,0,0,2,0.25,7,21,1.75,5.25,4 games
10,Dallas Stars,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,6,5,3,2.5,2 games
12,Edmonton Oilers,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
13,Florida Panthers,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
14,Los Angeles Kings,2,0,1,0,1,1,0.25,5,9,2.5,4.5,2 games
15,Montreal Canadiens,2,2,0,0,0,4,1,9,3,4.5,1.5,2 games
16,New Jersey Devils,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
17,Nashville Predators,3,2,1,0,0,4,0.667,10,9,3.33,3,3 games
18,New York Islanders,2,2,0,0,0,4,1,11,7,5.5,3.5,2 games
19,New York Rangers,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
20,Ottawa Senators,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
21,Philadelphia Flyers,2,2,0,0,0,4,1,4,0,2,0,2 games
22,Pittsburgh Penguins,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
23,San Jose Sharks,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
24,St. Louis Blues,4,3,1,0,0,6,0.75,19,12,4.75,3,4 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
26,Toronto Maple Leafs,2,1,1,0,0,2,0.5,4,4,2,2,2 games
27,Vancouver Canucks,3,1,1,0,1,3,0.5,7,6,2.33,2,3 games
28,Vegas Golden Knights,3,3,0,0,0,6,1,13,6,4.33,2,3 games
29,Winnipeg Jets,4,1,3,0,0,2,0.25,10,14,2.5,3.5,4 games
30,Washington Capitals,2,0,2,0,0,0,0,3,8,1.5,4,2 games
