Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
2,Arizona Coyotes,2,0,2,0,0,0,0,6,10,3,5,2 games
3,Boston Bruins,4,0,2,0,2,2,0.25,6,14,1.5,3.5,4 games
4,Buffalo Sabres,3,3,0,0,0,6,1,8,3,2.67,1,3 games
5,Carolina Hurricanes,3,0,3,0,0,0,0,6,11,2,3.67,3 games
6,Columbus Blue Jackets,3,1,1,0,1,3,0.5,6,8,2,2.67,3 games
7,Calgary Flames,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,3,3,1.5,1.5,2 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,4,4,2,2,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
11,Detroit Red Wings,2,2,0,0,0,4,1,16,4,8,2,2 games
12,Edmonton Oilers,2,0,2,0,0,0,0,3,10,1.5,5,2 games
13,Florida Panthers,4,1,3,0,0,2,0.25,5,10,1.25,2.5,4 games
14,Los Angeles Kings,2,0,2,0,0,0,0,1,9,0.5,4.5,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,3,9,1.5,4.5,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
17,Nashville Predators,2,0,0,0,2,2,0.5,4,6,2,3,2 games
18,New York Islanders,3,2,0,0,1,5,0.833,13,9,4.33,3,3 games
19,New York Rangers,3,2,1,0,0,4,0.667,8,7,2.67,2.33,3 games
20,Ottawa Senators,4,3,1,0,0,6,0.75,14,8,3.5,2,4 games
21,Philadelphia Flyers,3,0,1,0,2,2,0.333,5,9,1.67,3,3 games
22,Pittsburgh Penguins,2,0,2,0,0,0,0,6,10,3,5,2 games
23,San Jose Sharks,2,0,2,0,0,0,0,3,9,1.5,4.5,2 games
24,St. Louis Blues,2,0,2,0,0,0,0,4,7,2,3.5,2 games
25,Tampa Bay Lightning,4,1,1,0,2,4,0.5,8,11,2,2.75,4 games
26,Toronto Maple Leafs,3,0,2,0,1,1,0.167,3,14,1,4.67,3 games
27,Vancouver Canucks,2,2,0,0,0,4,1,12,7,6,3.5,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,6,8,3,4,2 games
29,Winnipeg Jets,1,1,0,0,0,2,1,5,4,5,4,1 games
30,Washington Capitals,2,1,1,0,0,2,0.5,4,8,2,4,2 games
