Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,3,0,0,0,6,1,12,7,4,2.33,3 games
2,Arizona Coyotes,3,2,0,0,1,5,0.833,8,7,2.67,2.33,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
4,Buffalo Sabres,1,1,0,0,0,2,1,4,0,4,0,1 games
5,Carolina Hurricanes,2,0,1,0,1,1,0.25,4,8,2,4,2 games
6,Columbus Blue Jackets,1,1,0,0,0,2,1,3,1,3,1,1 games
7,Calgary Flames,3,1,1,0,1,3,0.5,7,7,2.33,2.33,3 games
8,Chicago Blackhawks,4,2,1,0,1,5,0.625,7,7,1.75,1.75,4 games
9,Colorado Avalanche,4,4,0,0,0,8,1,17,8,4.25,2,4 games
10,Dallas Stars,4,3,0,0,1,7,0.875,14,7,3.5,1.75,4 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
12,Edmonton Oilers,3,3,0,0,0,6,1,10,3,3.33,1,3 games
13,Florida Panthers,1,1,0,0,0,2,1,4,3,4,3,1 games
14,Los Angeles Kings,3,3,0,0,0,6,1,13,6,4.33,2,3 games
15,Minnesota Wild,3,1,2,0,0,2,0.333,9,10,3,3.33,3 games
16,Montreal Canadiens,2,2,0,0,0,4,1,6,4,3,2,2 games
17,New Jersey Devils,2,1,0,0,1,3,0.75,5,3,2.5,1.5,2 games
18,New York Islanders,2,1,1,0,0,2,0.5,7,10,3.5,5,2 games
19,New York Rangers,2,1,1,0,0,2,0.5,7,6,3.5,3,2 games
20,Ottawa Senators,2,1,0,0,1,3,0.75,8,6,4,3,2 games
21,Philadelphia Flyers,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
22,Pittsburgh Penguins,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,8,5,4,2.5,2 games
24,St. Louis Blues,4,4,0,0,0,8,1,12,4,3,1,4 games
25,Tampa Bay Lightning,1,0,0,0,1,1,0.5,3,4,3,4,1 games
26,Toronto Maple Leafs,2,0,1,0,1,1,0.25,4,8,2,4,2 games
27,Vancouver Canucks,3,2,1,0,0,4,0.667,14,9,4.67,3,3 games
28,Vegas Golden Knights,3,1,1,0,1,3,0.5,4,7,1.33,2.33,3 games
29,Winnipeg Jets,4,3,1,0,0,6,0.75,18,15,4.5,3.75,4 games
30,Washington Capitals,1,1,0,0,0,2,1,6,3,6,3,1 games
