Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,4,8,2,4,2 games
3,Boston Bruins,3,0,2,0,1,1,0.167,7,11,2.33,3.67,3 games
4,Buffalo Sabres,3,2,0,0,1,5,0.833,12,7,4,2.33,3 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,9,7,3,2.33,3 games
6,Columbus Blue Jackets,4,1,3,0,0,2,0.25,9,14,2.25,3.5,4 games
7,Calgary Flames,2,0,1,0,1,1,0.25,6,8,3,4,2 games
8,Chicago Blackhawks,2,2,0,0,0,4,1,11,6,5.5,3,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,6,2,3,1,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,8,6,4,3,2 games
11,Detroit Red Wings,3,2,1,0,0,4,0.667,7,7,2.33,2.33,3 games
12,Edmonton Oilers,2,0,1,0,1,1,0.25,5,9,2.5,4.5,2 games
13,Florida Panthers,3,1,2,0,0,2,0.333,6,7,2,2.33,3 games
14,Los Angeles Kings,2,2,0,0,0,4,1,8,1,4,0.5,2 games
15,Minnesota Wild,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
16,Montreal Canadiens,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
17,Nashville Predators,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
18,New York Islanders,3,2,0,0,1,5,0.833,10,7,3.33,2.33,3 games
19,New York Rangers,3,2,1,0,0,4,0.667,9,10,3,3.33,3 games
20,Ottawa Senators,3,2,1,0,0,4,0.667,13,13,4.33,4.33,3 games
21,Philadelphia Flyers,4,2,2,0,0,4,0.5,13,15,3.25,3.75,4 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,6,3,3,1.5,2 games
23,San Jose Sharks,2,0,2,0,0,0,0,2,9,1,4.5,2 games
24,St. Louis Blues,2,0,1,0,1,1,0.25,3,6,1.5,3,2 games
25,Tampa Bay Lightning,2,2,0,0,0,4,1,9,7,4.5,3.5,2 games
26,Toronto Maple Leafs,2,1,0,0,1,3,0.75,6,4,3,2,2 games
27,Vancouver Canucks,2,2,0,0,0,4,1,5,2,2.5,1,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,10,6,5,3,2 games
29,Winnipeg Jets,2,0,2,0,0,0,0,4,8,2,4,2 games
30,Washington Capitals,3,1,2,0,0,2,0.333,8,13,2.67,4.33,3 games
