Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,1,0,1,1,0.25,6,8,3,4,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
3,Boston Bruins,3,0,3,0,0,0,0,4,13,1.33,4.33,3 games
4,Buffalo Sabres,3,2,1,0,0,4,0.667,12,9,4,3,3 games
5,Carolina Hurricanes,4,2,2,0,0,4,0.5,14,12,3.5,3,4 games
6,Columbus Blue Jackets,4,1,3,0,0,2,0.25,9,18,2.25,4.5,4 games
7,Calgary Flames,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
8,Chicago Blackhawks,1,1,0,0,0,2,1,7,3,7,3,1 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,7,10,3.5,5,2 games
10,Dallas Stars,2,0,2,0,0,0,0,2,10,1,5,2 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,10,12,5,6,2 games
12,Edmonton Oilers,2,0,0,0,2,2,0.5,2,4,1,2,2 games
13,Florida Panthers,2,1,1,0,0,2,0.5,6,8,3,4,2 games
14,Los Angeles Kings,2,1,1,0,0,2,0.5,6,6,3,3,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,7,11,3.5,5.5,2 games
16,Montreal Canadiens,3,1,2,0,0,2,0.333,9,13,3,4.33,3 games
17,New Jersey Devils,3,1,2,0,0,2,0.333,7,10,2.33,3.33,3 games
18,Nashville Predators,2,1,0,0,1,3,0.75,10,7,5,3.5,2 games
19,New York Rangers,3,3,0,0,0,6,1,14,5,4.67,1.67,3 games
20,Ottawa Senators,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
21,Philadelphia Flyers,3,2,1,0,0,4,0.667,13,13,4.33,4.33,3 games
22,Pittsburgh Penguins,4,1,1,0,2,4,0.5,9,12,2.25,3,4 games
23,San Jose Sharks,2,2,0,0,0,4,1,8,4,4,2,2 games
24,St. Louis Blues,2,1,0,0,1,3,0.75,7,5,3.5,2.5,2 games
25,Tampa Bay Lightning,3,1,2,0,0,2,0.333,13,16,4.33,5.33,3 games
26,Toronto Maple Leafs,2,0,1,0,1,1,0.25,3,9,1.5,4.5,2 games
27,Vancouver Canucks,2,1,0,0,1,3,0.75,8,6,4,3,2 games
28,Vegas Golden Knights,2,2,0,0,0,4,1,8,4,4,2,2 games
29,Winnipeg Jets,2,1,1,0,0,2,0.5,7,6,3.5,3,2 games
30,Washington Capitals,4,1,3,0,0,2,0.25,12,18,3,4.5,4 games
