Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
3,Boston Bruins,3,2,1,0,0,4,0.667,8,10,2.67,3.33,3 games
4,Buffalo Sabres,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
5,Carolina Hurricanes,3,3,0,0,0,6,1,17,5,5.67,1.67,3 games
6,Columbus Blue Jackets,4,1,3,0,0,2,0.25,9,13,2.25,3.25,4 games
7,Calgary Flames,2,2,0,0,0,4,1,7,4,3.5,2,2 games
8,Chicago Blackhawks,2,0,2,0,0,0,0,5,11,2.5,5.5,2 games
9,Colorado Avalanche,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
10,Dallas Stars,2,0,1,0,1,1,0.25,2,4,1,2,2 games
11,Detroit Red Wings,3,1,0,0,2,4,0.667,6,7,2,2.33,3 games
12,Edmonton Oilers,2,2,0,0,0,4,1,7,4,3.5,2,2 games
13,Florida Panthers,3,1,1,0,1,3,0.5,12,13,4,4.33,3 games
14,Los Angeles Kings,2,1,1,0,0,2,0.5,6,6,3,3,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
16,Montreal Canadiens,3,1,2,0,0,2,0.333,7,8,2.33,2.67,3 games
17,New Jersey Devils,3,1,1,0,1,3,0.5,10,9,3.33,3,3 games
18,Nashville Predators,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
19,New York Islanders,3,0,2,0,1,1,0.167,5,14,1.67,4.67,3 games
20,Ottawa Senators,3,1,2,0,0,2,0.333,8,9,2.67,3,3 games
21,Philadelphia Flyers,3,1,2,0,0,2,0.333,12,12,4,4,3 games
22,Pittsburgh Penguins,4,2,1,0,1,5,0.625,14,16,3.5,4,4 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,7,9,3.5,4.5,2 games
24,St. Louis Blues,2,0,1,0,1,1,0.25,4,7,2,3.5,2 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
26,Toronto Maple Leafs,3,0,3,0,0,0,0,7,15,2.33,5,3 games
27,Vancouver Canucks,2,2,0,0,0,4,1,10,8,5,4,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,7,6,3.5,3,2 games
29,Winnipeg Jets,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
30,Washington Capitals,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
