Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,2,4,1,2,2 games
2,Arizona Coyotes,2,0,1,0,1,1,0.25,3,5,1.5,2.5,2 games
3,Boston Bruins,3,0,3,0,0,0,0,3,13,1,4.33,3 games
4,Buffalo Sabres,3,1,1,0,1,3,0.5,8,9,2.67,3,3 games
5,Carolina Hurricanes,1,0,1,0,0,0,0,1,2,1,2,1 games
6,Columbus Blue Jackets,3,1,2,0,0,2,0.333,8,11,2.67,3.67,3 games
7,Calgary Flames,2,1,1,0,0,2,0.5,7,2,3.5,1,2 games
8,Chicago Blackhawks,2,0,1,0,1,1,0.25,4,11,2,5.5,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,8,6,4,3,2 games
10,Dallas Stars,2,2,0,0,0,4,1,6,4,3,2,2 games
11,Detroit Red Wings,3,1,0,0,2,4,0.667,5,5,1.67,1.67,3 games
12,Edmonton Oilers,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
13,Florida Panthers,3,1,2,0,0,2,0.333,7,11,2.33,3.67,3 games
14,Los Angeles Kings,2,0,0,0,2,2,0.5,5,7,2.5,3.5,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,5,9,2.5,4.5,2 games
16,Montreal Canadiens,4,1,3,0,0,2,0.25,8,14,2,3.5,4 games
17,New Jersey Devils,3,1,0,0,2,4,0.667,13,13,4.33,4.33,3 games
18,Nashville Predators,2,1,1,0,0,2,0.5,6,8,3,4,2 games
19,New York Islanders,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
20,New York Rangers,3,2,1,0,0,4,0.667,9,8,3,2.67,3 games
21,Philadelphia Flyers,3,2,1,0,0,4,0.667,12,12,4,4,3 games
22,Pittsburgh Penguins,2,0,2,0,0,0,0,4,9,2,4.5,2 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,6,10,3,5,2 games
24,St. Louis Blues,2,0,2,0,0,0,0,1,7,0.5,3.5,2 games
25,Tampa Bay Lightning,4,2,1,0,1,5,0.625,19,15,4.75,3.75,4 games
26,Toronto Maple Leafs,4,2,2,0,0,4,0.5,16,16,4,4,4 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,9,9,4.5,4.5,2 games
29,Winnipeg Jets,1,0,1,0,0,0,0,0,5,0,5,1 games
30,Washington Capitals,3,0,2,0,1,1,0.167,8,13,2.67,4.33,3 games
