Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,7,7,3.5,3.5,2 games
3,Boston Bruins,2,0,2,0,0,0,0,2,6,1,3,2 games
4,Buffalo Sabres,3,2,1,0,0,4,0.667,8,6,2.67,2,3 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,7,7,2.33,2.33,3 games
6,Columbus Blue Jackets,4,2,1,0,1,5,0.625,8,9,2,2.25,4 games
7,Calgary Flames,2,1,0,0,1,3,0.75,9,7,4.5,3.5,2 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
9,Colorado Avalanche,1,0,0,0,1,1,0.5,4,5,4,5,1 games
10,Dallas Stars,1,1,0,0,0,2,1,2,1,2,1,1 games
11,Detroit Red Wings,3,2,0,0,1,5,0.833,11,10,3.67,3.33,3 games
12,Edmonton Oilers,2,2,0,0,0,4,1,6,3,3,1.5,2 games
13,Florida Panthers,3,1,2,0,0,2,0.333,8,8,2.67,2.67,3 games
14,Los Angeles Kings,2,0,2,0,0,0,0,1,6,0.5,3,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,0,4,0,2,2 games
16,Montreal Canadiens,3,3,0,0,0,6,1,9,5,3,1.67,3 games
17,New Jersey Devils,4,2,1,0,1,5,0.625,15,13,3.75,3.25,4 games
18,Nashville Predators,2,0,2,0,0,0,0,5,7,2.5,3.5,2 games
19,New York Islanders,3,1,0,0,2,4,0.667,13,13,4.33,4.33,3 games
20,New York Rangers,3,2,1,0,0,4,0.667,12,12,4,4,3 games
21,Ottawa Senators,3,1,1,0,1,3,0.5,12,12,4,4,3 games
22,Pittsburgh Penguins,3,0,2,0,1,1,0.167,7,15,2.33,5,3 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,6,6,3,3,2 games
24,St. Louis Blues,2,2,0,0,0,4,1,8,3,4,1.5,2 games
25,Tampa Bay Lightning,3,1,1,0,1,3,0.5,12,15,4,5,3 games
26,Toronto Maple Leafs,3,3,0,0,0,6,1,11,6,3.67,2,3 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,6,6,3,3,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,6,4,3,2,2 games
29,Winnipeg Jets,2,1,0,0,1,3,0.75,4,4,2,2,2 games
30,Washington Capitals,4,3,1,0,0,6,0.75,19,11,4.75,2.75,4 games
