Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,2,0,0,0,0,3,9,1.5,4.5,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
3,Boston Bruins,3,1,2,0,0,2,0.333,13,17,4.33,5.67,3 games
4,Buffalo Sabres,3,3,0,0,0,6,1,14,5,4.67,1.67,3 games
5,Carolina Hurricanes,4,2,2,0,0,4,0.5,10,8,2.5,2,4 games
6,Columbus Blue Jackets,3,3,0,0,0,6,1,13,8,4.33,2.67,3 games
7,Calgary Flames,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
8,Chicago Blackhawks,2,0,2,0,0,0,0,2,12,1,6,2 games
9,Colorado Avalanche,2,0,2,0,0,0,0,3,6,1.5,3,2 games
10,Dallas Stars,2,1,0,0,1,3,0.75,6,5,3,2.5,2 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
12,Edmonton Oilers,2,2,0,0,0,4,1,5,3,2.5,1.5,2 games
13,Florida Panthers,3,2,1,0,0,4,0.667,13,12,4.33,4,3 games
14,Los Angeles Kings,2,2,0,0,0,4,1,6,2,3,1,2 games
15,Minnesota Wild,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
16,Montreal Canadiens,2,2,0,0,0,4,1,10,6,5,3,2 games
17,New Jersey Devils,2,0,2,0,0,0,0,3,6,1.5,3,2 games
18,Nashville Predators,2,1,0,0,1,3,0.75,8,5,4,2.5,2 games
19,New York Islanders,4,3,1,0,0,6,0.75,12,9,3,2.25,4 games
20,New York Rangers,4,2,1,0,1,5,0.625,16,14,4,3.5,4 games
21,Ottawa Senators,2,2,0,0,0,4,1,9,4,4.5,2,2 games
22,Philadelphia Flyers,3,3,0,0,0,6,1,15,7,5,2.33,3 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,6,4,3,2,2 games
24,St. Louis Blues,2,1,0,0,1,3,0.75,8,6,4,3,2 games
25,Tampa Bay Lightning,3,1,2,0,0,2,0.333,10,14,3.33,4.67,3 games
26,Toronto Maple Leafs,3,1,2,0,0,2,0.333,10,12,3.33,4,3 games
27,Vancouver Canucks,2,0,2,0,0,0,0,4,9,2,4.5,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,6,6,3,3,2 games
29,Winnipeg Jets,2,1,1,0,0,2,0.5,3,8,1.5,4,2 games
30,Washington Capitals,3,2,1,0,0,4,0.667,11,10,3.67,3.33,3 games
