Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,4,3,0,0,1,7,0.875,13,8,3.25,2,4 games
2,Arizona Coyotes,4,3,1,0,0,6,0.75,13,10,3.25,2.5,4 games
3,Boston Bruins,2,0,2,0,0,0,0,2,5,1,2.5,2 games
4,Buffalo Sabres,2,2,0,0,0,4,1,6,4,3,2,2 games
5,Carolina Hurricanes,2,2,0,0,0,4,1,8,5,4,2.5,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
7,Calgary Flames,3,3,0,0,0,6,1,13,8,4.33,2.67,3 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,8,5,4,2.5,2 games
9,Colorado Avalanche,2,0,2,0,0,0,0,4,8,2,4,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
11,Detroit Red Wings,2,1,0,0,1,3,0.75,6,5,3,2.5,2 games
12,Edmonton Oilers,4,3,1,0,0,6,0.75,18,14,4.5,3.5,4 games
13,Florida Panthers,2,1,1,0,0,2,0.5,2,3,1,1.5,2 games
14,Los Angeles Kings,4,3,1,0,0,6,0.75,9,6,2.25,1.5,4 games
15,Minnesota Wild,2,0,0,0,2,2,0.5,5,7,2.5,3.5,2 games
16,Montreal Canadiens,2,2,0,0,0,4,1,9,3,4.5,1.5,2 games
17,New Jersey Devils,2,2,0,0,0,4,1,9,2,4.5,1,2 games
18,Nashville Predators,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
19,New York Islanders,2,0,2,0,0,0,0,4,8,2,4,2 games
20,New York Rangers,2,1,1,0,0,2,0.5,9,7,4.5,3.5,2 games
21,Ottawa Senators,2,1,0,0,1,3,0.75,10,6,5,3,2 games
22,Philadelphia Flyers,2,1,1,0,0,2,0.5,6,6,3,3,2 games
23,Pittsburgh Penguins,2,1,1,0,0,2,0.5,4,6,2,3,2 games
24,St. Louis Blues,2,2,0,0,0,4,1,5,2,2.5,1,2 games
25,Tampa Bay Lightning,2,0,2,0,0,0,0,3,10,1.5,5,2 games
26,Toronto Maple Leafs,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
27,Vancouver Canucks,5,4,0,0,1,9,0.9,22,12,4.4,2.4,5 games
28,Vegas Golden Knights,3,1,1,0,1,3,0.5,9,11,3,3.67,3 games
29,Winnipeg Jets,3,1,1,0,1,3,0.5,9,9,3,3,3 games
30,Washington Capitals,2,0,2,0,0,0,0,1,6,0.5,3,2 games
