Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,1,2,0,0,2,0.333,7,8,2.33,2.67,3 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
3,Boston Bruins,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
4,Buffalo Sabres,2,2,0,0,0,4,1,4,2,2,1,2 games
5,Carolina Hurricanes,2,2,0,0,0,4,1,5,3,2.5,1.5,2 games
6,Columbus Blue Jackets,1,1,0,0,0,2,1,4,1,4,1,1 games
7,Calgary Flames,3,1,2,0,0,2,0.333,10,11,3.33,3.67,3 games
8,Chicago Blackhawks,2,2,0,0,0,4,1,10,6,5,3,2 games
9,Colorado Avalanche,4,3,1,0,0,6,0.75,14,9,3.5,2.25,4 games
10,Dallas Stars,5,2,2,0,1,5,0.5,12,11,2.4,2.2,5 games
11,Detroit Red Wings,2,2,0,0,0,4,1,8,2,4,1,2 games
12,Edmonton Oilers,3,2,1,0,0,4,0.667,14,7,4.67,2.33,3 games
13,Florida Panthers,2,0,2,0,0,0,0,6,12,3,6,2 games
14,Los Angeles Kings,3,2,1,0,0,4,0.667,12,8,4,2.67,3 games
15,Minnesota Wild,4,1,2,0,1,3,0.375,12,19,3,4.75,4 games
16,Montreal Canadiens,2,2,0,0,0,4,1,7,4,3.5,2,2 games
17,New Jersey Devils,2,2,0,0,0,4,1,6,3,3,1.5,2 games
18,Nashville Predators,4,0,3,0,1,1,0.125,4,12,1,3,4 games
19,New York Islanders,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
20,New York Rangers,2,2,0,0,0,4,1,7,4,3.5,2,2 games
21,Ottawa Senators,2,2,0,0,0,4,1,7,1,3.5,0.5,2 games
22,Philadelphia Flyers,2,0,2,0,0,0,0,3,8,1.5,4,2 games
23,Pittsburgh Penguins,2,1,1,0,0,2,0.5,6,8,3,4,2 games
24,San Jose Sharks,2,0,2,0,0,0,0,2,5,1,2.5,2 games
25,Tampa Bay Lightning,2,0,2,0,0,0,0,1,5,0.5,2.5,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,8,5,4,2.5,2 games
27,Vancouver Canucks,2,2,0,0,0,4,1,7,4,3.5,2,2 games
28,Vegas Golden Knights,2,1,0,0,1,3,0.75,4,4,2,2,2 games
29,Winnipeg Jets,4,2,2,0,0,4,0.5,7,10,1.75,2.5,4 games
30,Washington Capitals,1,0,0,0,1,1,0.5,3,4,3,4,1 games
