Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,2,0,0,0,4,1,10,5,5,2.5,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,8,8,4,4,2 games
3,Boston Bruins,4,3,1,0,0,6,0.75,12,10,3,2.5,4 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,16,11,5.33,3.67,3 games
6,Columbus Blue Jackets,3,1,1,0,1,3,0.5,10,10,3.33,3.33,3 games
7,Calgary Flames,2,2,0,0,0,4,1,6,2,3,1,2 games
8,Chicago Blackhawks,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
9,Colorado Avalanche,2,0,1,0,1,1,0.25,5,8,2.5,4,2 games
10,Dallas Stars,2,2,0,0,0,4,1,10,6,5,3,2 games
11,Detroit Red Wings,3,2,1,0,0,4,0.667,10,8,3.33,2.67,3 games
12,Edmonton Oilers,2,2,0,0,0,4,1,7,4,3.5,2,2 games
13,Florida Panthers,3,1,0,0,2,4,0.667,4,5,1.33,1.67,3 games
14,Los Angeles Kings,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
15,Minnesota Wild,2,1,1,0,0,2,0.5,4,4,2,2,2 games
16,Montreal Canadiens,3,3,0,0,0,6,1,14,3,4.67,1,3 games
17,New Jersey Devils,2,1,1,0,0,2,0.5,4,6,2,3,2 games
18,Nashville Predators,2,2,0,0,0,4,1,8,4,4,2,2 games
19,New York Islanders,2,2,0,0,0,4,1,9,3,4.5,1.5,2 games
20,New York Rangers,3,3,0,0,0,6,1,15,7,5,2.33,3 games
21,Ottawa Senators,4,2,2,0,0,4,0.5,16,16,4,4,4 games
22,Philadelphia Flyers,3,0,2,0,1,1,0.167,6,11,2,3.67,3 games
23,Pittsburgh Penguins,3,2,1,0,0,4,0.667,12,10,4,3.33,3 games
24,San Jose Sharks,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
25,St. Louis Blues,2,0,1,0,1,1,0.25,5,8,2.5,4,2 games
26,Tampa Bay Lightning,4,1,2,0,1,3,0.375,10,13,2.5,3.25,4 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,4,4,2,2,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,7,9,3.5,4.5,2 games
29,Winnipeg Jets,1,1,0,0,0,2,1,7,2,7,2,1 games
30,Washington Capitals,3,1,2,0,0,2,0.333,6,9,2,3,3 games
