Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,0,3,0,0,0,0,1,12,0.33,4,3 games
2,Arizona Coyotes,3,1,2,0,0,2,0.333,4,4,1.33,1.33,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,9,7,4.5,3.5,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,4,6,2,3,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,4,4,2,2,2 games
6,Columbus Blue Jackets,1,1,0,0,0,2,1,5,2,5,2,1 games
7,Calgary Flames,4,1,3,0,0,2,0.25,10,18,2.5,4.5,4 games
8,Chicago Blackhawks,3,3,0,0,0,6,1,14,6,4.67,2,3 games
9,Colorado Avalanche,3,1,1,0,1,3,0.5,9,11,3,3.67,3 games
10,Dallas Stars,2,1,0,0,1,3,0.75,7,2,3.5,1,2 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,6,4,3,2,2 games
12,Edmonton Oilers,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
13,Florida Panthers,2,0,2,0,0,0,0,4,7,2,3.5,2 games
14,Los Angeles Kings,4,2,2,0,0,4,0.5,12,11,3,2.75,4 games
15,Minnesota Wild,3,2,1,0,0,4,0.667,6,7,2,2.33,3 games
16,Montreal Canadiens,2,0,2,0,0,0,0,7,12,3.5,6,2 games
17,New Jersey Devils,2,0,2,0,0,0,0,2,5,1,2.5,2 games
18,Nashville Predators,3,1,1,0,1,3,0.5,9,14,3,4.67,3 games
19,New York Islanders,2,1,1,0,0,2,0.5,6,8,3,4,2 games
20,New York Rangers,2,0,0,0,2,2,0.5,8,10,4,5,2 games
21,Ottawa Senators,2,1,0,0,1,3,0.75,5,3,2.5,1.5,2 games
22,Philadelphia Flyers,2,1,1,0,0,2,0.5,6,6,3,3,2 games
23,Pittsburgh Penguins,2,2,0,0,0,4,1,9,4,4.5,2,2 games
24,San Jose Sharks,5,1,3,0,1,3,0.3,12,22,2.4,4.4,5 games
25,St. Louis Blues,2,0,1,0,1,1,0.25,4,7,2,3.5,2 games
26,Tampa Bay Lightning,2,0,2,0,0,0,0,4,9,2,4.5,2 games
27,Toronto Maple Leafs,2,1,0,0,1,3,0.75,4,4,2,2,2 games
28,Vegas Golden Knights,3,0,3,0,0,0,0,6,15,2,5,3 games
29,Winnipeg Jets,3,0,3,0,0,0,0,3,10,1,3.33,3 games
30,Washington Capitals,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
