Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,4,3,1,0,0,6,0.75,12,8,3,2,4 games
2,Arizona Coyotes,4,4,0,0,0,8,1,14,7,3.5,1.75,4 games
3,Boston Bruins,2,1,1,0,0,2,0.5,4,3,2,1.5,2 games
4,Buffalo Sabres,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
5,Carolina Hurricanes,2,1,0,0,1,3,0.75,7,4,3.5,2,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
7,Calgary Flames,3,3,0,0,0,6,1,15,5,5,1.67,3 games
8,Chicago Blackhawks,3,3,0,0,0,6,1,14,8,4.67,2.67,3 games
9,Colorado Avalanche,1,1,0,0,0,2,1,7,0,7,0,1 games
10,Dallas Stars,3,2,1,0,0,4,0.667,7,7,2.33,2.33,3 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,7,6,3.5,3,2 games
12,Edmonton Oilers,3,1,1,0,1,3,0.5,8,12,2.67,4,3 games
13,Florida Panthers,2,1,0,0,1,3,0.75,8,6,4,3,2 games
14,Los Angeles Kings,4,2,1,0,1,5,0.625,10,11,2.5,2.75,4 games
15,Minnesota Wild,3,0,3,0,0,0,0,6,13,2,4.33,3 games
16,Montreal Canadiens,2,1,1,0,0,2,0.5,8,6,4,3,2 games
17,New Jersey Devils,2,1,1,0,0,2,0.5,6,10,3,5,2 games
18,Nashville Predators,3,2,1,0,0,4,0.667,7,4,2.33,1.33,3 games
19,New York Islanders,2,0,2,0,0,0,0,4,8,2,4,2 games
20,New York Rangers,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
21,Ottawa Senators,2,1,1,0,0,2,0.5,9,9,4.5,4.5,2 games
22,Philadelphia Flyers,2,1,1,0,0,2,0.5,4,6,2,3,2 games
23,Pittsburgh Penguins,2,1,1,0,0,2,0.5,6,6,3,3,2 games
24,San Jose Sharks,3,2,0,0,1,5,0.833,11,9,3.67,3,3 games
25,St. Louis Blues,2,1,1,0,0,2,0.5,4,4,2,2,2 games
26,Tampa Bay Lightning,2,2,0,0,0,4,1,8,4,4,2,2 games
27,Toronto Maple Leafs,2,1,0,0,1,3,0.75,9,7,4.5,3.5,2 games
28,Vancouver Canucks,3,3,0,0,0,6,1,15,6,5,2,3 games
29,Winnipeg Jets,3,2,1,0,0,4,0.667,12,11,4,3.67,3 games
30,Washington Capitals,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
