Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,3,6,1.5,3,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
3,Boston Bruins,3,3,0,0,0,6,1,12,8,4,2.67,3 games
4,Buffalo Sabres,3,2,1,0,0,4,0.667,9,6,3,2,3 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,10,10,3.33,3.33,3 games
6,Columbus Blue Jackets,4,3,1,0,0,6,0.75,12,12,3,3,4 games
7,Calgary Flames,2,0,2,0,0,0,0,2,6,1,3,2 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,7,9,3.5,4.5,2 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
10,Dallas Stars,2,2,0,0,0,4,1,8,6,4,3,2 games
11,Detroit Red Wings,3,2,0,0,1,5,0.833,9,8,3,2.67,3 games
12,Edmonton Oilers,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
13,Florida Panthers,3,1,2,0,0,2,0.333,7,9,2.33,3,3 games
14,Los Angeles Kings,2,0,2,0,0,0,0,3,8,1.5,4,2 games
15,Minnesota Wild,2,2,0,0,0,4,1,8,3,4,1.5,2 games
16,Montreal Canadiens,2,1,1,0,0,2,0.5,8,4,4,2,2 games
17,New Jersey Devils,3,2,0,0,1,5,0.833,13,8,4.33,2.67,3 games
18,Nashville Predators,1,0,1,0,0,0,0,3,6,3,6,1 games
19,New York Islanders,4,3,1,0,0,6,0.75,18,12,4.5,3,4 games
20,New York Rangers,2,1,0,0,1,3,0.75,4,3,2,1.5,2 games
21,Ottawa Senators,3,3,0,0,0,6,1,13,8,4.33,2.67,3 games
22,Philadelphia Flyers,4,1,2,0,1,3,0.375,11,19,2.75,4.75,4 games
23,Pittsburgh Penguins,3,1,2,0,0,2,0.333,10,11,3.33,3.67,3 games
24,San Jose Sharks,2,2,0,0,0,4,1,6,1,3,0.5,2 games
25,St. Louis Blues,1,1,0,0,0,2,1,4,3,4,3,1 games
26,Tampa Bay Lightning,3,1,1,0,1,3,0.5,8,9,2.67,3,3 games
27,Toronto Maple Leafs,3,2,1,0,0,4,0.667,9,6,3,2,3 games
28,Vancouver Canucks,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
29,Vegas Golden Knights,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
30,Winnipeg Jets,2,1,0,0,1,3,0.75,6,6,3,3,2 games
