Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,0,0,1,3,0.75,7,5,3.5,2.5,2 games
2,Arizona Coyotes,3,3,0,0,0,6,1,12,5,4,1.67,3 games
3,Boston Bruins,1,0,0,0,1,1,0.5,1,2,1,2,1 games
4,Buffalo Sabres,2,2,0,0,0,4,1,11,7,5.5,3.5,2 games
5,Carolina Hurricanes,2,2,0,0,0,4,1,5,3,2.5,1.5,2 games
6,Columbus Blue Jackets,2,0,1,0,1,1,0.25,3,7,1.5,3.5,2 games
7,Calgary Flames,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
8,Chicago Blackhawks,3,1,2,0,0,2,0.333,8,9,2.67,3,3 games
9,Colorado Avalanche,4,2,0,0,2,6,0.75,13,7,3.25,1.75,4 games
10,Dallas Stars,4,4,0,0,0,8,1,18,8,4.5,2,4 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
12,Edmonton Oilers,3,3,0,0,0,6,1,14,5,4.67,1.67,3 games
13,Florida Panthers,2,1,1,0,0,2,0.5,11,8,5.5,4,2 games
14,Los Angeles Kings,3,2,1,0,0,4,0.667,7,6,2.33,2,3 games
15,Minnesota Wild,4,3,1,0,0,6,0.75,14,10,3.5,2.5,4 games
16,Montreal Canadiens,1,0,0,0,1,1,0.5,4,5,4,5,1 games
17,New Jersey Devils,2,2,0,0,0,4,1,8,4,4,2,2 games
18,Nashville Predators,4,1,3,0,0,2,0.25,15,18,3.75,4.5,4 games
19,New York Islanders,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
20,New York Rangers,2,1,1,0,0,2,0.5,4,3,2,1.5,2 games
21,Ottawa Senators,1,1,0,0,0,2,1,5,0,5,0,1 games
22,Philadelphia Flyers,2,1,1,0,0,2,0.5,4,4,2,2,2 games
23,Pittsburgh Penguins,2,1,0,0,1,3,0.75,8,3,4,1.5,2 games
24,San Jose Sharks,3,2,1,0,0,4,0.667,9,9,3,3,3 games
25,St. Louis Blues,4,2,2,0,0,4,0.5,10,7,2.5,1.75,4 games
26,Tampa Bay Lightning,2,1,0,0,1,3,0.75,6,5,3,2.5,2 games
27,Toronto Maple Leafs,1,0,1,0,0,0,0,2,7,2,7,1 games
28,Vancouver Canucks,3,3,0,0,0,6,1,10,3,3.33,1,3 games
29,Vegas Golden Knights,3,1,1,0,1,3,0.5,11,12,3.67,4,3 games
30,Washington Capitals,2,1,0,0,1,3,0.75,6,6,3,3,2 games
